date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:04:27	3503/3503	---M--	200	added ('OK')	image/jpeg	date:Wed,%2026%20Aug%202015%2017:58:08%20GMT	https://m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_UX182_CR0,0,182,268_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMjE0NTA2MTEwOV5BMl5BanBnXkFtZTgwNzg4NzU2NjE@._V1_UX182_CR0,0,182,268_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:28	6760/6760	---M--	200	added ('OK')	image/jpeg	date:Thu,%2017%20Sep%202015%2001:12:32%20GMT	https://m.media-amazon.com/images/M/MV5BMjEyODU3MTA0NF5BMl5BanBnXkFtZTgwMDc4NjE4NjE@._V1_UX477_CR0,0,477,268_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMjEyODU3MTA0NF5BMl5BanBnXkFtZTgwMDc4NjE4NjE@._V1_UX477_CR0,0,477,268_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:28	3605/3605	---M--	200	added ('OK')	image/jpeg	date:Mon,%2025%20Sep%202017%2013:59:33%20GMT	https://m.media-amazon.com/images/M/MV5BMWRiNmRhMGUtMGI2Ni00ZDgxLWJhYzYtNzMxODJiNWViNDI1XkEyXkFqcGdeQXVyMzQwNDU5NzI@._V1_UY99_CR38,0,99,99_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMWRiNmRhMGUtMGI2Ni00ZDgxLWJhYzYtNzMxODJiNWViNDI1XkEyXkFqcGdeQXVyMzQwNDU5NzI@._V1_UY99_CR38,0,99,99_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:29	2863/2863	---M--	200	added ('OK')	image/jpeg	date:Sat,%2013%20Jan%202018%2018:59:20%20GMT	https://m.media-amazon.com/images/M/MV5BYzg0YzkzMmUtZWYzNy00ZmM0LWE0YzItMWI1NTM4OTc0ZTA2XkEyXkFqcGdeQXVyMzQwNDU5NzI@._V1_UY99_CR38,0,99,99_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BYzg0YzkzMmUtZWYzNy00ZmM0LWE0YzItMWI1NTM4OTc0ZTA2XkEyXkFqcGdeQXVyMzQwNDU5NzI@._V1_UY99_CR38,0,99,99_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:29	1548/1548	---M--	200	added ('OK')	image/jpeg	date:Thu,%2027%20Aug%202015%2004:31:01%20GMT	https://m.media-amazon.com/images/M/MV5BMTU5NTE5NzAxN15BMl5BanBnXkFtZTgwODcxMjY2NjE@._V1_UY99_CR24,0,99,99_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMTU5NTE5NzAxN15BMl5BanBnXkFtZTgwODcxMjY2NjE@._V1_UY99_CR24,0,99,99_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:29	1395/1395	---M--	200	added ('OK')	image/jpeg	date:Wed,%2016%20Sep%202015%2022:31:05%20GMT	https://m.media-amazon.com/images/M/MV5BMjI0NTAzNzIzN15BMl5BanBnXkFtZTgwMTk1NTE4NjE@._V1_UX99_CR0,0,99,99_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMjI0NTAzNzIzN15BMl5BanBnXkFtZTgwMTk1NTE4NjE@._V1_UX99_CR0,0,99,99_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:30	3247/3247	---M--	200	added ('OK')	image/jpeg	date:Tue,%2006%20Oct%202015%2020:27:21%20GMT	https://m.media-amazon.com/images/M/MV5BMTg0NjMyNzg4NF5BMl5BanBnXkFtZTgwNzQ5Njc5NjE@._V1_UX99_CR0,0,99,99_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMTg0NjMyNzg4NF5BMl5BanBnXkFtZTgwNzQ5Njc5NjE@._V1_UX99_CR0,0,99,99_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:30	3176/3176	---M--	200	added ('OK')	image/jpeg	date:Tue,%2029%20Sep%202015%2018:30:01%20GMT	https://m.media-amazon.com/images/M/MV5BMjE2NzYwNjYwMF5BMl5BanBnXkFtZTgwODkxMzI5NjE@._V1_UY99_CR25,0,99,99_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMjE2NzYwNjYwMF5BMl5BanBnXkFtZTgwODkxMzI5NjE@._V1_UY99_CR25,0,99,99_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:30	1118/1118	---M--	200	added ('OK')	image/jpeg	date:Mon,%2016%20Jan%202012%2001:48:13%20GMT	https://m.media-amazon.com/images/M/MV5BMTk0NjM2MTE5M15BMl5BanBnXkFtZTcwODIxMzcyNw@@._V1_UX32_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BMTk0NjM2MTE5M15BMl5BanBnXkFtZTcwODIxMzcyNw@@._V1_UX32_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
13:04:30	1097/1097	---M--	200	added ('OK')	image/jpeg	date:Sat,%2023%20Mar%202013%2017:53:52%20GMT	https://m.media-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX32_CR0,0,32,44_AL_.jpg	C:/My%20Web%20Sites/mymoviecatalog/m.media-amazon.com/images/M/MV5BODgzMzM2NTE0Ml5BMl5BanBnXkFtZTcwMTcyMTkyOQ@@._V1_UX32_CR0,0,32,44_AL_.jpg	(from http://www.mymoviecatalog.com/steve-jobs-2015/)
